time,One_full_time_working_person_heat_demand[kW],One_pensioneer_heat_demand[kW],Two_full_time_working_persons_heat_demand[kW],Two_pensioneers_heat_demand[kW],One_full_time_and_one_part_time_working_person_heat_demand[kW],Two_full_time_working_persons_one_child_heat_demand[kW],"One_full_time_and_one_part_time_working_person,_one_child_heat_demand[kW]",Two_full_time_working_persons_two_children_heat_demand[kW],One_full_time_and_one_part_time_working_person_two_children_heat_demand[kW],Two_full_time_working_persons_three_children_heat_demand[kW],One_full_time_and_one_part_time_working_person_three_children_heat_demand[kW]
1/1/2015 0:00,2.489872333,1.901358833,2.147473,1.919431,2.0352955,2.5789075,2.051525167,2.291738333,2.256277667,1.970819333,2.149172167
1/1/2015 1:00,2.548416333,1.998207667,2.197964833,1.964562,2.083150333,2.6395445,2.099762,2.4084715,2.371205667,2.017158333,2.199705
1/1/2015 2:00,2.680045333,1.9902655,2.311492167,2.066033667,2.1907475,2.7758805,2.208217667,2.398899333,2.361780667,2.1213475,2.313322833
1/1/2015 3:00,2.948730333,2.109720167,2.543227833,2.2731625,2.410378167,3.054173333,2.429600167,2.542878667,2.503532833,2.334021,2.5452425
1/1/2015 4:00,3.838834667,2.212533833,3.310928333,2.9593405,3.1379755,3.9761065,3.163000333,2.666801167,2.625537667,3.038568833,3.313550167
1/1/2015 5:00,5.633872,3.102892167,4.859117167,4.343126,4.605292667,5.8353325,4.642017,3.7399655,3.6820965,4.459402167,4.862964333
1/1/2015 6:00,6.9709375,4.054219833,6.012312167,5.822583167,5.698249,7.296240167,5.74369,4.886616833,4.811005,5.5177345,6.017073167
1/1/2015 7:00,6.707596167,3.939169333,5.7851855,7.213864833,5.7073455,6.949318333,5.526710167,6.490566833,4.673172167,5.309292333,5.7897665
1/1/2015 8:00,6.380338333,3.8848525,5.502930167,6.375730667,5.215475833,6.686387667,5.257066,4.592681,4.522718,5.050255,6.805590333
1/1/2015 9:00,6.010808333,3.791310333,5.1842175,4.633704167,4.913411167,6.227613833,4.952593667,4.569726833,4.719210833,4.757759667,6.605637
1/1/2015 10:00,5.648950167,3.706424667,4.872121167,4.354749167,4.617617,7.076755,4.6544405,4.467412167,9.618038167,4.695695,4.875978667
1/1/2015 11:00,5.443928,3.508474167,4.695293333,4.196699167,5.851217,5.716493167,7.9856795,4.2288205,6.7749115,6.059139167,6.0302475
1/1/2015 12:00,5.332875167,3.432340833,4.599512333,4.111089167,4.3592485,5.523572,4.394010833,4.1370545,8.425217667,6.532088,7.376609167
1/1/2015 13:00,5.383775333,3.2936095,4.867771667,4.150328167,10.5056135,5.576292167,4.435950667,5.586959,3.908414333,6.5029735,4.647089667
1/1/2015 14:00,5.518255667,3.320973167,6.384951333,4.253997667,4.510784167,5.715581167,4.546754667,8.576289667,3.940883833,4.367887,4.7631685
1/1/2015 15:00,5.725863667,3.339656167,4.938458167,4.414042667,4.680489833,5.930613333,4.717814,4.025341167,3.963056,4.532217333,4.9423695
1/1/2015 16:00,5.919454333,3.713141833,5.105425833,4.56328,4.838736,6.131126333,4.877321333,4.475510167,4.406258667,4.685450167,5.109469333
1/1/2015 17:00,6.141569833,3.925831833,5.296997667,4.734507833,5.020299333,6.361183667,5.060333667,6.692710833,4.6586495,4.861261667,5.744316333
1/1/2015 18:00,6.209833333,3.973365833,5.355873667,4.787131167,8.093509,6.431888667,5.340937,4.789159833,4.7150575,4.915294833,8.126105167
1/1/2015 19:00,6.163691833,3.997044333,5.316076833,4.751561333,5.0383825,6.384096833,5.078561167,6.213526167,4.743156667,4.878772333,8.532056667
1/1/2015 20:00,5.830184833,3.9917375,5.028432833,4.494462167,4.765764333,6.038663667,4.8037685,4.811304,4.736858167,4.839150333,9.4208095
1/1/2015 21:00,6.408612667,3.6263375,4.320424167,3.861636833,4.094738667,5.188413167,4.3517525,4.592174667,4.303251167,3.965022167,4.915298333
1/1/2015 22:00,3.4717135,2.824053833,2.992681833,2.6748885,2.836354333,6.193870333,3.083332333,3.4038775,3.5725015,2.970861333,2.995052167
1/1/2015 23:00,2.655862333,2.175847833,2.290635167,2.047392667,2.170980167,2.750832833,2.188292167,4.583426667,2.582004167,2.102205333,4.5649425
1/2/2015 0:00,2.405199,1.859758167,2.0744425,1.854156833,1.96608,2.4912055,1.981758333,2.241596333,2.206911667,1.9037975,2.076085167
1/2/2015 1:00,2.4476405,1.915332167,2.111047167,1.886875667,2.000773833,2.535164833,2.016729167,2.308580833,2.272859333,1.937391167,2.112719833
1/2/2015 2:00,2.574726,1.912052833,2.220656667,1.984844667,2.104656667,2.666794833,2.121440167,2.304626833,2.268968833,2.037982833,2.222415
1/2/2015 3:00,2.832852333,2.026812667,2.443285833,2.183832167,2.315656333,2.9341505,2.334122167,2.442949667,2.405149667,2.242298333,2.445219833
1/2/2015 4:00,3.687977167,2.125586833,3.180816,2.843044667,3.014661333,3.819855167,3.038701333,2.5620025,2.522360667,2.919160167,3.183335167
1/2/2015 5:00,5.412473667,2.980956,4.6681655,4.172451833,4.424315667,5.606016833,4.459596,3.592994,3.5373985,4.284157667,4.671861333
1/2/2015 6:00,6.6969955,3.894899167,5.776042667,5.162682667,5.474321,6.936471667,5.517975167,4.694582667,4.621943333,5.300900333,5.7806155
1/2/2015 7:00,6.444004333,3.784411833,5.557841833,4.967652333,7.017599167,6.674433,5.533882667,4.560086667,4.489527,5.325008667,5.562242333
1/2/2015 8:00,6.129605667,3.7351145,5.511039,6.350837333,5.010520167,6.348792333,5.050475333,6.156151167,4.343927833,4.851792,5.290864167
